,stock_code,stock_name,exchange,tcap,cash,Adjusted_Net_Profit_2022,Net_Profit_2023,Goodwill
63,603201,常润股份,001001,278226.67,824004348.38,165955580.52,134332078.18,11821288.8
147,300837,浙矿股份,001002,277801.65,574040339.28,184059260.06,128776903.49,4705447.39
202,301276,嘉曼服饰,001002,278640.0,419851435.37,137312136.01,127326144.18,1498016.17
203,688335,复洁环保,001001,189643.899,305192837.49,107149786.21,20622896.15,6254013.26
247,301220,亚香股份,001002,268983.2,304358905.58,122379584.77,68626274.27,6455647.79
581,002360,同德化工,001002,277224.231,649133984.54,185685843.18,152177630.33,15993679.36
812,603006,联明股份,001001,281459.455,525018811.42,129078059.54,99594975.36,28531088.84
904,603040,新坐标,001001,281970.179,362923531.43,139884767.07,136357915.69,1126048.66
1245,603102,百合股份,001001,253440.0,1077007451.47,132881456.99,128704815.37,517835.51
1717,688350,富淼科技,001001,202402.714,410114099.34,105140782.37,37288019.08,41402714.09
1719,003036,泰坦股份,001002,266328.0,845569774.88,120447630.02,121880456.9,16193261.8
2215,300692,中环环保,001002,271202.775,286661864.46,198798570.58,110543605.41,32753627.5
2288,002394,联发股份,001002,288416.7,743008478.61,135838997.11,137283960.53,1413349.2
2337,600513,联环药业,001001,288007.111,204433472.25,133385892.21,100597014.28,21071947.29
2519,002492,恒基达鑫,001002,239355.0,248721667.95,125046997.39,87961196.97,14522238.39
3228,002687,乔治白,001002,271973.908,498374365.79,121860931.27,124992715.55,8489712.25
3766,002365,永安药业,001002,291440.992,275995419.71,122356100.74,41086189.05,8766208.59
3919,605287,德才股份,001001,243600.0,2176700938.82,169718659.1,152982234.27,2636792.39
4084,603096,新经典,001001,287631.345,193623458.97,124749106.53,132133112.66,8786066.29
4381,603216,梦天家居,001001,286297.56,806392621.37,185969479.95,44246180.4,0.0
4410,603150,万朗磁塑,001001,228942.22,272949809.74,134369470.84,101553306.28,9264323.62
4518,603579,荣泰健康,001001,284202.589,1054783730.0,126183365.37,152477626.53,524488.05
4711,002133,广宇集团,001002,271724.605,2296541287.17,106122040.84,295840918.83,1396607.14
4735,003027,同兴环保,001002,237179.961,640074580.7,101175880.93,31619186.08,23459884.67
4941,600262,北方股份,001001,299710.0,625669093.15,106210953.25,112066457.84,5900.64
